Country,City,AccentCity,Region,Population,Latitude,Longitude
ie,an cabhan,An Cabhán,02,,53.9908333,-7.3605556
ie,an caislean nua,An Caisleán Nua,07,,53.3011111,-6.5022222
ie,an caislean nua,An Caisleán Nua,16,,52.4491667,-9.0611111
ie,an caislean nua,An Caisleán Nua,31,,53.0683333,-6.0658332999999995
ie,an caislean riabhach,An Caisleán Riabhach,24,,53.7666667,-8.5
ie,an caladh,An Caladh,11,,51.8861111,-10.361666699999999
ie,an caol,An Caol,20,,53.966666700000005,-10.083333300000001
ie,an carraigin,An Carraigín,06,,54.95,-7.4333333
ie,an charraig,An Charraig,06,,54.6575,-8.631666699999998
ie,an chathair,Án Chathair,26,,52.3769444,-7.9216667
ie,an cheapach,An Cheapach,26,,52.581944400000005,-8.163611099999999
ie,an cheapach mhor,An Cheapach Mhór,16,,52.614444400000004,-8.3355556
ie,an cheathru chaol,An Cheathrú Chaol,06,,55.1333333,-7.65
ie,an cheathru rua,An Cheathrú Rua,10,,53.2655556,-9.583611099999999
ie,an chill,An Chill,12,,53.251388899999995,-6.5916667
ie,an chloch,An Chloch,13,,52.86,-7.1669444
ie,an chluaine,An Chluaine,14,,53.95,-7.7833333
ie,an chorrchoill,An Chorrchoill,12,,53.29027779999999,-6.753888900000001
ie,an chraig,An Chráig,10,,53.048333299999996,-8.400277800000001
ie,an chrois dhearg,An Chrois Dhearg,31,,52.8858333,-6.1458333
ie,an chuil,An Chúil,29,,53.7,-7.383333299999999
ie,an clochan,An Clochán,10,,53.4833333,-10.016666699999998
ie,an clochan,An Clochán,23,,53.2216667,-7.8841667
ie,an clochan liath,An Clochán Liath,06,,54.951111100000006,-8.3591667
ie,an cloichin,An Cloichín,26,,52.275833299999995,-7.9922222000000005
ie,an cloigeann,An Cloigeann,10,,53.55,-10.116666699999998
ie,an cnoc rua,An Cnoc Rua,02,,54.1,-7.3166667
ie,an cobh,An Cóbh,04,,51.8572222,-8.2991667
ie,an coirean,An Coireán,11,,51.8333333,-10.166666699999999
ie,an craoslach,An Craoslach,06,,55.1166667,-7.9
ie,an creagan,An Creagán,10,,53.466666700000005,-8.5
ie,an croman,An Cromán,11,,52.116111100000005,-9.9027778
ie,an cruachan,An Cruachán,04,,51.466666700000005,-9.7166667
ie,an daingean,An Daingean,11,,52.1408333,-10.2688889
ie,an daingean,An Daingean,23,,53.296111100000005,-7.289444400000001
ie,an droichead nua,An Droichead Nua,13,,52.631111100000005,-6.994722200000001
ie,an duchoraidh,An Dúchoraidh,06,,54.906388899999996,-8.2094444
ie,an fal carrach,An Fál Carrach,06,,55.1333333,-8.1
ie,an fearann fuar,An Fearann Fuar,11,,52.1666667,-9.55
ie,an fear ban,An Féar Bán,23,,53.269444400000005,-7.8269444
ie,an fheothanach,An Fheothanach,11,,52.216111100000006,-10.355555599999999
ie,an fhiacail,An Fhiacail,03,,52.924722200000005,-8.6452778
ie,an fhianait,An Fhianait,11,,52.2808333,-9.8675
ie,an gabhailin,An Gabhailín,26,,52.497777799999994,-7.980277799999999
ie,an gallbhaile,An Gallbhaile,16,,52.4002778,-8.2927778
ie,an geata ban,An Geata Bán,03,,52.9491667,-8.371388900000001
ie,an geata ban,An Geata Bán,04,,51.830555600000004,-8.229722200000001
ie,an geata mor,An Geata Mór,20,,54.203888899999995,-10.0361111
ie,an ghaobhach,An Ghaobhach,25,,54.1,-8.25
ie,anghnagappall bridge,Anghnagappall Bridge,30,,52.471944400000005,-6.7066667
ie,an ghraig,An Ghráig,10,,53.048333299999996,-8.400277800000001
ie,an ghrainseach,An Ghráinseach,25,,54.4,-8.516666699999998
ie,anghvaneen,Anghvaneen,26,,52.4519444,-7.461388900000001
ie,an gleann,An Gleann,16,,52.57027779999999,-9.2827778
ie,an gleann garbh,An Gleann Garbh,04,,51.75,-9.55
ie,an gleann mor,An Gleann Mor,13,,52.3516667,-7.025
ie,anglesborough,Anglesborough,16,,52.34,-8.318611099999998
ie,anglesey road,Anglesey Road,26,,52.6938889,-8.031388900000001
ie,anglesry bridge,Anglesry Bridge,26,,52.6794444,-8.1625
ie,an gort,An Gort,10,,53.0663889,-8.816666699999999
ie,an grianfort,An Grianfort,19,,54.033333299999995,-6.133333299999999
ie,an inis,An Inis,06,,55.07027779999999,-7.4805556
ie,an inse,An Inse,21,,53.6819444,-6.2391667
ie,an laithreach,An Láithreach,11,,51.75,-9.766666699999998
ie,an laithreach,An Laithreach,31,,53.004444400000004,-6.298888900000001
ie,an lathaigh,An Lathaigh,06,,54.6166667,-8.1
ie,an leacht,An Leacht,03,,52.9366667,-9.3452778
ie,an leathros,An Leathros,25,,54.2719444,-8.593333300000001
ie,an leim,An Léim,04,,51.5925,-9.13
ie,an lios breac,An Lios Breac,18,,53.7666667,-7.8333333
ie,an longfort,An Longfort,18,,53.7333333,-7.8
ie,an mhuirioch,An Mhuirioch,11,,52.186944399999994,-10.363888900000001
ie,an mota,An Móta,29,,53.39388889999999,-7.717222200000001
ie,an muileann gcearr,An Muileann gCearr,29,,53.533333299999995,-7.35
ie,an muileann iarainn,An Muileann Iarainn,02,,54.19472220000001,-7.704444400000001
ie,an mullach,An Mullach,02,,53.8130556,-6.951388900000001
ie,annaboty,Annaboty,26,,52.7375,-8.4575
ie,annacarriga,Annacarriga,03,,52.851111100000004,-8.503888900000002
ie,annacarty,Annacarty,26,,52.5644444,-8.110277799999999
ie,annacurragh,Annacurragh,31,,52.83888889999999,-6.3586111
ie,annadale,Annadale,14,,54.03722220000001,-7.943888900000001
ie,annagary,Annagary,06,,55.0219444,-8.3177778
ie,annagassan,Annagassan,19,,53.8861111,-6.3444444
ie,annagh,Annagh,10,,53.4033333,-9.045277800000001
ie,annagh,Annagh,11,,52.008888899999995,-9.326111099999999
ie,annagh,Annagh,16,,52.67722220000001,-8.451666699999999
ie,annagh,Annagh,25,,54.059444400000004,-8.82
ie,annaghbrack,Annaghbrack,23,,53.18027779999999,-7.5766667000000005
ie,annagh bridge,Annagh Bridge,15,,52.98972220000001,-7.567222200000001
ie,annaghdown,Annaghdown,10,,53.3925,-9.066388900000002
ie,annaghgerry,Annaghgerry,14,,54.1675,-8.1175
ie,annaghkeenly,Annaghkeenly,14,,53.99277779999999,-7.9677777999999995
ie,annaghmore,Annaghmore,14,,53.9,-7.8
ie,annaghmore,Annaghmore,25,,53.9758333,-8.5602778
ie,annaghneal bridges,Annaghneal Bridges,03,,52.8933333,-8.6575
ie,annaghroe bridge,Annaghroe Bridge,22,,54.3386111,-6.874444400000001
ie,annagh upper,Annagh Upper,14,,54.1833333,-8.0455556
ie,annaghvaan,Annaghvaan,10,,53.32,-9.6475
ie,annaghvacky,Annaghvacky,19,,54.033333299999995,-6.5472222
ie,annagleve,Annagleve,22,,54.090277799999996,-6.761111099999999
ie,annagore bridge,Annagore Bridge,03,,52.7569444,-8.7761111
ie,annahatn,Annahatn,04,,51.8777778,-9.0
ie,annaleck,Annaleck,13,,52.586111100000004,-7.0233333
ie,annalittin,Annalittin,22,,54.0891667,-6.696111099999999
ie,annamoe,Annamoe,23,,53.1525,-7.255
ie,annamoe,Annamoe,31,,53.0288889,-6.2519444
ie,an nas,An Nás,12,,53.2158333,-6.6669444
ie,annaseeragh,Annaseeragh,22,,54.2280556,-6.824722200000001
ie,annavalla,Annavalla,22,,54.1591667,-6.790277799999999
ie,anne's bridge,Anne's Bridge,04,,52.209444399999995,-9.0261111
ie,annesbrook,Annesbrook,21,,53.8305556,-6.9308333
ie,annestown,Annestown,27,,52.1380556,-7.3044444
ie,annfield,Annfield,07,,53.3744444,-6.4055556
ie,annie brady bridge,Annie Brady Bridge,20,,54.2705556,-9.724722199999999
ie,annistown,Annistown,04,,51.9430556,-8.040277799999998
ie,anns fort,Anns Fort,02,,54.033333299999995,-6.9833333
ie,an pasaiste,An Pasáiste,04,,51.8738889,-8.3444444
ie,an pasaiste,An Pasáiste,27,,52.236388899999994,-6.9680556
ie,an port nua,An Port Nua,26,,52.711111100000004,-8.4097222
ie,an port rua,An Port Rua,26,,52.8825,-8.350277799999999
ie,an rath mhor,An Ráth Mhór,11,,52.0833333,-9.2166667
ie,an rath mhor,An Ráth Mhór,12,,53.21722220000001,-6.5644444
ie,an ros,An Ros,07,,53.52472220000001,-6.1097222
ie,an ros,An Ros,25,,54.3091667,-8.566111099999999
ie,an scairbh,An Scairbh,03,,52.898888899999996,-8.509166699999998
ie,an sciobairin,An Sciobairin,04,,51.55,-9.266666699999998
ie,an scoil,An Scoil,04,,51.533333299999995,-9.5333333
ie,an seanbhaile mor,An Seanbhaile Mór,04,,52.2202778,-8.5013889
ie,an seanchaislean,An Seanchaisleán,21,,53.7683333,-7.158611099999999
ie,an snaidhm,An Snaidhm,11,,51.8333333,-9.9
ie,an spideal,An Spidéal,10,,53.2466667,-9.302777800000001
ie,an sraidbhaile,An Sráidbhaile,15,,53.0155556,-7.152777799999999
ie,an tabhallort,An tAbhallort,30,,52.5036111,-6.3822222
ie,an taonach,An tAonach,26,,52.8619444,-8.1966667
ie,an teampall mor,An Teampall Mór,26,,52.79472220000001,-7.833888900000001
ie,an tinbhear mor,An tInbhear Mór,31,,52.793055599999995,-6.1413889
ie,an tochar,An Tóchar,11,,52.4133333,-9.7319444
ie,an tochar,An Tóchar,31,,53.0586111,-6.2261111
ie,an tospideal,An tOspidéal,16,,52.473055599999995,-8.4305556
ie,an tsnaidhm,An tSnaidhm,11,,51.8333333,-9.9
ie,an tsraidbhaile,An tSráidbhaile,27,,52.13,-7.46
ie,an tulach,An Tulach,01,,52.800277799999996,-6.7369444000000005
ie,an tulach,An Tulach,03,,52.86472220000001,-8.7605556
ie,an uaimh,An Uaimh,21,,53.652777799999996,-6.681388900000001
ie,an urnai,An Urnaí,01,,52.7505556,-6.909722200000001
ie,aphort,Aphort,06,,54.976388899999996,-8.519444400000001
ie,ara bridge,Ara Bridge,26,,52.4391667,-8.0366667
ie,araglin,Araglin,04,,52.2083333,-8.1161111
ie,ara north,Ara North,20,,53.8541667,-9.1080556
ie,arbatt,Arbatt,06,,54.8783333,-7.979722200000001
ie,ardach,Ardach,16,,52.4944444,-9.0630556
ie,ardach,Ardach,18,,53.6666667,-7.7
ie,ardagh,Ardagh,06,,54.9369444,-7.534722200000001
ie,ardagh,Ardagh,16,,52.4944444,-9.0630556
ie,ardagh,Ardagh,18,,53.6666667,-7.7
ie,ardagh,Ardagh,20,,54.097777799999996,-9.2255556
ie,ardagh,Ardagh,21,,53.89777779999999,-6.7430556
ie,ardaghy,Ardaghy,19,,54.0838889,-6.2838889
ie,ardaghy,Ardaghy,22,,54.21222220000001,-6.9052777999999995
ie,ardamore,Ardamore,11,,52.203055600000006,-10.365833300000002
ie,ard an ratha,Ard an Rátha,06,,54.7644444,-8.4075
ie,ardara,Ardara,06,,54.7644444,-8.4075
ie,ard,Ard,10,,53.3161111,-9.878333300000001
ie,ardarn,Ardarn,06,,54.7644444,-8.4075
ie,ardattin,Ardattin,01,,52.7525,-6.703888900000001
ie,ardcahan bridge,Ardcahan Bridge,04,,51.7605556,-9.0969444
ie,ardcanaght,Ardcanaght,11,,52.163888899999996,-9.738888900000001
ie,ardcath,Ardcath,21,,53.6080556,-6.3913889
ie,ardcost,Ardcost,11,,51.904444399999996,-10.2780556
ie,ardcrony,Ardcrony,26,,52.932222200000005,-8.157222200000001
ie,ardea,Ardea,11,,51.8144444,-9.757777800000001
ie,ardea bridge,Ardea Bridge,11,,51.826666700000004,-9.7425
ie,ardee,Ardee,19,4008.0,53.85972220000001,-6.540555599999999
ie,ardeen,Ardeen,04,,51.9366667,-9.0875
ie,ardeen,Ardeen,31,,52.7536111,-6.5261111
ie,ardeevin,Ardeevin,06,,54.6911111,-8.019444400000001
ie,arderra,Arderra,13,,52.311111100000005,-7.2219444
ie,arderry,Arderry,14,,54.004444400000004,-7.7325
ie,ardfallen,Ardfallen,04,,51.883055600000006,-8.4477778
ie,ardfert,Ardfert,11,,52.3333333,-9.7833333
ie,ard fhearta,Ard Fhearta,11,,52.3333333,-9.7833333
ie,ard fhionain,Ard Fhíonáin,26,,52.3116667,-7.875
ie,ardfield,Ardfield,04,,51.5666667,-8.9144444
ie,ardfinnan,Ardfinnan,26,,52.3116667,-7.875
ie,ardgehane,Ardgehane,04,,51.603333299999996,-8.829722199999999
ie,ardgroom,Ardgroom,04,,51.74055560000001,-9.8955556
ie,ardhoom,Ardhoom,20,,53.9341667,-9.045277800000001
ie,ardinode,Ardinode,12,,53.1166667,-6.633333299999999
